cirp_id,sector,bench,admission_date,resolution_status,duration_days,admitted_claim_cr,realisation_pct,no_of_financial_creditors,resolution_applicants_received,ip_changed,litigation_pending,favourable_outcome
CIRP-00235,Banking & Finance,NCLT Chennai,2020-04-25,Resolution Plan Approved,953,209.74,49.24,29,8,0,0,1
CIRP-00236,Energy,NCLT Ahmedabad,2018-01-25,Settled,770,11.79,64.36,98,17,0,1,1
CIRP-00237,Real Estate,NCLT Hyderabad,2021-01-26,Appeal Pending,536,25.33,,52,20,0,0,0
CIRP-00238,Manufacturing,NCLT Kolkata,2017-06-13,Liquidation Order,649,902.42,6.62,9,12,0,0,0
CIRP-00239,IT / Technology,NCLT Hyderabad,2017-12-30,Settled,724,10.55,53.33,33,5,0,0,1
CIRP-00240,Healthcare,NCLT Kolkata,2021-03-25,Appeal Pending,400,30.95,,34,20,1,0,0
CIRP-00241,IT / Technology,NCLT Mumbai,2017-01-16,Resolution Plan Approved,913,586.51,33.63,43,10,0,1,1
CIRP-00242,Banking & Finance,NCLT Chennai,2021-09-16,Ongoing,160,50.61,,31,20,0,1,0
CIRP-00243,Healthcare,NCLT Hyderabad,2018-12-15,Settled,328,235.95,66.23,140,7,0,0,1
CIRP-00244,Healthcare,NCLT Chennai,2017-02-18,Withdrawn (Sec 12A),904,39.22,80.39,16,4,0,1,1
CIRP-00245,Telecom,NCLT Ahmedabad,2019-04-21,Appeal Pending,503,829.89,,82,13,1,0,0
CIRP-00246,Real Estate,NCLT Hyderabad,2020-11-04,Appeal Pending,514,11.41,,49,13,0,0,0
CIRP-00247,Infrastructure,NCLT Ahmedabad,2022-02-23,Liquidation Order,1095,22.12,2.93,1,13,1,1,0
CIRP-00248,Healthcare,NCLT Delhi,2019-09-15,Ongoing,542,37.68,,128,5,0,0,0
CIRP-00249,Telecom,NCLT Kolkata,2017-09-17,Withdrawn (Sec 12A),388,69.7,66.43,131,20,0,1,1
CIRP-00250,Others,NCLT Kolkata,2020-02-15,Appeal Pending,137,56.21,,90,20,0,0,0
CIRP-00251,IT / Technology,NCLT Hyderabad,2017-08-22,Liquidation Order,218,23.45,0.61,150,11,0,1,0
CIRP-00252,IT / Technology,NCLT Chennai,2022-02-11,Settled,784,25.26,60.23,78,0,0,0,1
CIRP-00253,Healthcare,NCLT Hyderabad,2018-02-18,Ongoing,81,355.01,,149,9,0,1,0
CIRP-00254,Telecom,NCLT Mumbai,2020-02-26,Ongoing,548,71.9,,94,13,0,0,0
CIRP-00255,Healthcare,NCLT Ahmedabad,2021-08-29,Resolution Plan Approved,768,2.39,30.44,44,10,1,1,1
CIRP-00256,Manufacturing,NCLT Delhi,2020-01-28,Ongoing,551,22.57,,64,19,0,0,0
CIRP-00257,Others,NCLT Kolkata,2019-04-23,Ongoing,108,26.65,,79,7,1,1,0
CIRP-00258,Telecom,NCLT Delhi,2022-10-13,Ongoing,352,342.36,,111,10,0,0,0
CIRP-00259,Retail,NCLT Ahmedabad,2020-03-06,Appeal Pending,322,3.38,,79,16,0,0,0
CIRP-00260,Healthcare,NCLT Chennai,2019-01-30,Appeal Pending,366,315.68,,15,7,1,0,0
CIRP-00261,Real Estate,NCLT Mumbai,2022-05-13,Liquidation Order,336,31.15,3.19,124,15,0,1,0
CIRP-00262,Manufacturing,NCLT Ahmedabad,2021-08-16,Liquidation Order,908,7.45,1.16,90,20,0,1,0
CIRP-00263,Infrastructure,NCLT Chennai,2017-08-10,Appeal Pending,465,87.54,,61,5,0,0,0
CIRP-00264,Energy,NCLT Ahmedabad,2021-07-10,Ongoing,375,125.98,,93,11,0,0,0
CIRP-00265,Others,NCLT Chennai,2022-10-09,Settled,1061,38.35,80.43,64,14,0,0,1
CIRP-00266,Healthcare,NCLT Chennai,2017-03-03,Withdrawn (Sec 12A),145,602.32,73.56,64,11,0,0,1
CIRP-00267,Healthcare,NCLT Hyderabad,2021-06-26,Withdrawn (Sec 12A),1017,10.69,69.62,73,4,0,0,1
CIRP-00268,Infrastructure,NCLT Delhi,2021-09-14,Resolution Plan Approved,104,601.2,29.7,134,17,0,1,1
CIRP-00269,Others,NCLT Mumbai,2020-05-13,Appeal Pending,41,651.77,,15,19,0,1,0
CIRP-00270,Manufacturing,NCLT Chennai,2018-02-04,Ongoing,337,50.21,,16,12,0,1,0
CIRP-00271,Manufacturing,NCLT Hyderabad,2020-01-29,Liquidation Order,799,23.33,1.4,25,8,0,0,0
CIRP-00272,Retail,NCLT Kolkata,2022-08-28,Settled,1005,31.06,64.43,94,4,1,0,1
CIRP-00273,IT / Technology,NCLT Delhi,2018-11-12,Settled,177,25.72,28.39,47,17,0,0,1
CIRP-00274,Retail,NCLT Kolkata,2018-07-25,Appeal Pending,412,18.4,,105,11,0,0,0
CIRP-00275,Manufacturing,NCLT Hyderabad,2020-07-26,Settled,316,10.48,54.89,51,4,0,0,1
CIRP-00276,IT / Technology,NCLT Delhi,2022-09-18,Appeal Pending,64,13.76,,92,1,0,0,0
CIRP-00277,IT / Technology,NCLT Hyderabad,2020-03-10,Liquidation Order,976,140.98,3.8,22,5,0,1,0
CIRP-00278,Infrastructure,NCLT Mumbai,2018-09-10,Resolution Plan Approved,417,59.74,47.91,66,10,0,0,1
CIRP-00279,IT / Technology,NCLT Kolkata,2019-06-24,Ongoing,119,10.35,,110,19,0,0,0
CIRP-00280,Healthcare,NCLT Delhi,2017-04-13,Liquidation Order,175,10.9,0.59,9,4,0,0,0
CIRP-00281,Infrastructure,NCLT Delhi,2020-09-25,Withdrawn (Sec 12A),576,4.04,83.66,40,15,0,0,1
CIRP-00282,Others,NCLT Ahmedabad,2019-05-03,Appeal Pending,390,1039.47,,29,12,0,1,0
CIRP-00283,Others,NCLT Chennai,2019-03-16,Ongoing,128,771.75,,150,19,0,0,0
CIRP-00284,Energy,NCLT Mumbai,2021-02-17,Appeal Pending,233,80.89,,75,13,0,0,0
CIRP-00285,Real Estate,NCLT Delhi,2018-02-07,Withdrawn (Sec 12A),888,9.05,46.22,108,0,1,0,1
CIRP-00286,Real Estate,NCLT Ahmedabad,2020-06-10,Ongoing,93,54.43,,13,7,1,0,0
CIRP-00287,Real Estate,NCLT Ahmedabad,2017-10-28,Liquidation Order,633,67.65,2.77,41,15,0,1,0
CIRP-00288,IT / Technology,NCLT Ahmedabad,2022-09-29,Settled,474,3.6,34.41,134,7,0,0,1
CIRP-00289,Others,NCLT Mumbai,2020-11-19,Appeal Pending,102,14.92,,122,2,0,0,0
CIRP-00290,Telecom,NCLT Mumbai,2022-04-21,Withdrawn (Sec 12A),207,9.64,37.23,65,4,0,0,1
CIRP-00291,Retail,NCLT Kolkata,2021-03-08,Resolution Plan Approved,819,130.09,27.93,149,15,0,0,1
CIRP-00292,Energy,NCLT Ahmedabad,2021-03-09,Resolution Plan Approved,420,25.42,38.77,107,15,0,0,1
CIRP-00293,Infrastructure,NCLT Delhi,2021-09-02,Liquidation Order,721,29.27,1.28,52,10,0,0,0
CIRP-00294,Real Estate,NCLT Ahmedabad,2022-02-03,Settled,535,40.94,42.87,110,20,0,0,1
CIRP-00295,Banking & Finance,NCLT Chennai,2019-06-08,Ongoing,340,11.67,,146,19,0,0,0
CIRP-00296,Others,NCLT Ahmedabad,2018-07-09,Ongoing,295,197.56,,88,11,0,1,0
CIRP-00297,IT / Technology,NCLT Hyderabad,2018-09-11,Appeal Pending,553,819.29,,4,7,0,0,0
CIRP-00298,Healthcare,NCLT Delhi,2019-04-09,Liquidation Order,203,7.87,1.13,126,1,0,1,0
CIRP-00299,IT / Technology,NCLT Hyderabad,2018-06-26,Resolution Plan Approved,966,12.68,21.27,17,18,0,1,1
CIRP-00300,Others,NCLT Mumbai,2020-09-10,Settled,1084,258.44,38.86,105,18,0,0,1
CIRP-00301,Real Estate,NCLT Hyderabad,2017-03-01,Resolution Plan Approved,1076,139.79,11.89,82,15,0,0,1
CIRP-00302,Real Estate,NCLT Kolkata,2020-05-02,Settled,408,196.52,70.41,75,3,0,0,1
CIRP-00303,Real Estate,NCLT Delhi,2020-09-09,Liquidation Order,1032,52.71,5.18,124,3,1,1,0
CIRP-00304,Banking & Finance,NCLT Kolkata,2021-04-18,Resolution Plan Approved,335,70.15,42.71,46,18,0,1,1
CIRP-00305,Real Estate,NCLT Chennai,2017-04-08,Resolution Plan Approved,1091,279.64,24.6,73,19,0,0,1
CIRP-00306,Others,NCLT Delhi,2019-02-11,Resolution Plan Approved,237,127.46,39.8,122,11,0,0,1
CIRP-00307,Retail,NCLT Chennai,2021-02-16,Withdrawn (Sec 12A),231,385.17,67.7,48,8,0,0,1
CIRP-00308,Retail,NCLT Hyderabad,2020-06-22,Settled,654,43.89,71.95,130,16,0,0,1
CIRP-00309,Energy,NCLT Mumbai,2019-10-14,Ongoing,42,159.73,,83,14,1,0,0
CIRP-00310,Telecom,NCLT Delhi,2021-10-27,Ongoing,144,1063.27,,110,18,0,0,0
CIRP-00311,Manufacturing,NCLT Kolkata,2019-08-27,Ongoing,140,813.65,,78,16,0,0,0
CIRP-00312,Telecom,NCLT Kolkata,2021-04-08,Resolution Plan Approved,510,8.76,37.95,143,3,0,1,1
CIRP-00313,Energy,NCLT Kolkata,2017-07-21,Withdrawn (Sec 12A),125,646.25,72.97,61,5,0,0,1
CIRP-00314,Banking & Finance,NCLT Kolkata,2021-07-18,Resolution Plan Approved,917,59.11,25.69,144,19,0,1,1
CIRP-00315,Banking & Finance,NCLT Kolkata,2021-10-08,Resolution Plan Approved,985,62.17,38.87,120,14,0,0,1
CIRP-00316,Retail,NCLT Delhi,2021-05-20,Resolution Plan Approved,820,174.01,33.93,76,15,0,0,1
CIRP-00317,Manufacturing,NCLT Ahmedabad,2022-11-05,Appeal Pending,291,443.83,,124,18,0,1,0
CIRP-00318,Others,NCLT Kolkata,2019-03-08,Ongoing,396,87.65,,10,8,1,0,0
CIRP-00319,Real Estate,NCLT Mumbai,2021-10-01,Settled,684,39.84,59.68,67,12,0,1,1
CIRP-00320,IT / Technology,NCLT Chennai,2022-04-06,Liquidation Order,906,39.72,2.05,70,9,0,1,0
CIRP-00321,Others,NCLT Hyderabad,2018-07-07,Settled,260,6.0,70.37,129,14,0,1,1
CIRP-00322,Real Estate,NCLT Delhi,2018-11-01,Settled,686,23.54,80.82,124,11,0,0,1
CIRP-00323,Real Estate,NCLT Ahmedabad,2020-02-23,Resolution Plan Approved,919,53.08,39.99,90,3,1,0,1
CIRP-00324,Manufacturing,NCLT Ahmedabad,2021-01-05,Withdrawn (Sec 12A),61,27.13,66.21,80,6,1,0,1
CIRP-00325,Telecom,NCLT Hyderabad,2021-12-10,Liquidation Order,722,41.3,7.02,44,8,0,1,0
CIRP-00326,Telecom,NCLT Delhi,2022-03-25,Settled,75,57.83,42.76,102,16,0,0,1
CIRP-00327,Manufacturing,NCLT Kolkata,2017-09-01,Settled,187,18.71,58.27,142,4,1,0,1
CIRP-00328,Banking & Finance,NCLT Delhi,2021-03-27,Settled,857,169.93,70.06,31,2,0,0,1
CIRP-00329,Energy,NCLT Delhi,2022-08-12,Liquidation Order,1033,2.96,1.01,99,0,0,1,0
CIRP-00330,IT / Technology,NCLT Mumbai,2018-08-03,Ongoing,151,602.24,,86,8,1,1,0
CIRP-00331,Healthcare,NCLT Delhi,2020-04-15,Settled,185,30.23,31.31,141,0,1,0,1
CIRP-00332,Retail,NCLT Ahmedabad,2020-08-11,Withdrawn (Sec 12A),278,53.98,59.85,102,14,0,0,1
CIRP-00333,Retail,NCLT Kolkata,2020-12-13,Resolution Plan Approved,199,21.62,14.7,80,5,0,0,1
CIRP-00334,IT / Technology,NCLT Mumbai,2021-02-06,Withdrawn (Sec 12A),998,48.76,50.39,93,17,0,0,1
CIRP-00335,Banking & Finance,NCLT Hyderabad,2022-11-13,Withdrawn (Sec 12A),427,73.83,77.91,112,16,0,1,1
CIRP-00336,Telecom,NCLT Hyderabad,2020-10-25,Resolution Plan Approved,338,130.38,30.11,95,17,0,0,1
CIRP-00337,Retail,NCLT Mumbai,2020-07-24,Withdrawn (Sec 12A),669,30.4,81.14,25,12,0,0,1
CIRP-00338,Healthcare,NCLT Ahmedabad,2018-11-18,Ongoing,533,83.43,,86,14,1,1,0
CIRP-00339,Infrastructure,NCLT Hyderabad,2021-08-26,Withdrawn (Sec 12A),336,1465.12,63.26,107,16,0,0,1
CIRP-00340,Infrastructure,NCLT Chennai,2019-02-04,Liquidation Order,373,142.05,4.94,49,4,0,0,0
CIRP-00341,IT / Technology,NCLT Delhi,2018-07-30,Ongoing,500,139.36,,4,16,0,1,0
CIRP-00342,Manufacturing,NCLT Chennai,2020-08-31,Settled,450,99.7,46.9,140,14,0,1,1
CIRP-00343,Retail,NCLT Ahmedabad,2020-07-31,Withdrawn (Sec 12A),1046,117.71,41.63,107,13,0,0,1
CIRP-00344,IT / Technology,NCLT Ahmedabad,2019-12-01,Settled,616,30.74,80.56,142,13,0,1,1
CIRP-00345,Healthcare,NCLT Kolkata,2020-07-17,Liquidation Order,534,15.12,4.88,107,12,0,0,0
CIRP-00346,Infrastructure,NCLT Kolkata,2021-08-27,Ongoing,187,31.04,,64,7,0,0,0
CIRP-00347,Telecom,NCLT Delhi,2019-09-13,Liquidation Order,701,56.35,9.3,103,7,0,0,0
CIRP-00348,Infrastructure,NCLT Mumbai,2022-02-16,Withdrawn (Sec 12A),789,229.85,25.99,21,8,1,0,1
CIRP-00349,Infrastructure,NCLT Ahmedabad,2017-03-07,Settled,887,12.62,57.3,99,3,0,1,1
CIRP-00350,Healthcare,NCLT Ahmedabad,2018-08-24,Settled,257,66.27,68.32,78,16,0,1,1
CIRP-00351,Banking & Finance,NCLT Kolkata,2020-05-09,Settled,1068,34.14,78.67,77,2,0,1,1
CIRP-00352,IT / Technology,NCLT Chennai,2017-07-10,Resolution Plan Approved,491,13.79,43.07,143,17,1,0,1
CIRP-00353,IT / Technology,NCLT Mumbai,2021-12-24,Resolution Plan Approved,361,58.92,26.03,24,4,0,1,1
CIRP-00354,Banking & Finance,NCLT Delhi,2021-11-09,Resolution Plan Approved,514,130.72,33.3,18,20,0,1,1
CIRP-00355,Others,NCLT Ahmedabad,2019-04-25,Liquidation Order,890,11.71,5.44,102,0,0,0,0
CIRP-00356,Energy,NCLT Kolkata,2021-12-07,Ongoing,122,522.07,,137,20,0,1,0
CIRP-00357,Others,NCLT Kolkata,2017-05-19,Settled,100,238.36,40.74,45,7,0,0,1
CIRP-00358,Telecom,NCLT Delhi,2018-08-21,Liquidation Order,496,44.76,1.7,73,6,1,0,0
CIRP-00359,Infrastructure,NCLT Hyderabad,2017-01-15,Withdrawn (Sec 12A),618,16.54,74.31,63,8,0,0,1
CIRP-00360,Others,NCLT Ahmedabad,2018-06-15,Withdrawn (Sec 12A),390,89.06,64.21,49,11,1,0,1
CIRP-00361,Infrastructure,NCLT Hyderabad,2020-02-26,Ongoing,307,319.69,,142,1,0,0,0
CIRP-00362,Energy,NCLT Ahmedabad,2019-12-12,Withdrawn (Sec 12A),235,66.02,61.62,144,11,0,0,1
CIRP-00363,Banking & Finance,NCLT Chennai,2020-01-08,Ongoing,357,138.48,,20,9,1,1,0
CIRP-00364,Banking & Finance,NCLT Hyderabad,2022-04-08,Resolution Plan Approved,960,78.44,59.63,65,7,0,0,1
CIRP-00365,Energy,NCLT Kolkata,2021-03-09,Settled,655,45.86,74.41,43,11,0,0,1
CIRP-00366,Others,NCLT Delhi,2018-09-03,Resolution Plan Approved,672,123.07,15.98,102,6,0,0,1
CIRP-00367,Infrastructure,NCLT Ahmedabad,2020-04-01,Resolution Plan Approved,408,8.96,38.84,70,10,0,1,1
CIRP-00368,IT / Technology,NCLT Ahmedabad,2021-01-17,Settled,585,168.53,52.74,12,1,1,0,1
CIRP-00369,Others,NCLT Ahmedabad,2018-10-05,Withdrawn (Sec 12A),926,12.79,83.98,141,17,0,0,1
CIRP-00370,Energy,NCLT Mumbai,2018-09-16,Appeal Pending,384,578.99,,105,0,0,0,0
CIRP-00371,Real Estate,NCLT Hyderabad,2021-06-03,Withdrawn (Sec 12A),152,201.65,52.58,51,6,0,1,1
CIRP-00372,Infrastructure,NCLT Chennai,2018-02-13,Liquidation Order,973,37.28,0.2,7,19,0,0,0
CIRP-00373,Energy,NCLT Delhi,2017-09-15,Appeal Pending,469,242.57,,136,6,0,0,0
CIRP-00374,Energy,NCLT Kolkata,2017-04-09,Resolution Plan Approved,1047,20.32,54.19,8,9,0,0,1
CIRP-00375,Healthcare,NCLT Ahmedabad,2017-11-28,Withdrawn (Sec 12A),139,129.46,68.51,30,16,0,0,1
CIRP-00376,Real Estate,NCLT Ahmedabad,2018-05-04,Ongoing,363,213.72,,22,20,0,0,0
CIRP-00377,Infrastructure,NCLT Hyderabad,2020-10-26,Ongoing,206,7.74,,111,3,0,0,0
CIRP-00378,Telecom,NCLT Mumbai,2022-09-07,Ongoing,522,446.1,,122,11,0,1,0
CIRP-00379,Healthcare,NCLT Kolkata,2019-12-31,Settled,225,2.44,69.89,33,17,0,0,1
CIRP-00380,Real Estate,NCLT Mumbai,2019-09-16,Ongoing,536,14.87,,88,16,0,0,0
CIRP-00381,Telecom,NCLT Delhi,2019-12-12,Ongoing,567,12.25,,72,12,0,0,0
CIRP-00382,Others,NCLT Mumbai,2018-11-04,Withdrawn (Sec 12A),986,117.15,76.21,18,6,0,1,1
CIRP-00383,Infrastructure,NCLT Chennai,2022-06-23,Withdrawn (Sec 12A),698,122.68,62.63,53,11,0,0,1
CIRP-00384,Manufacturing,NCLT Hyderabad,2018-03-24,Ongoing,265,332.79,,82,13,0,1,0
CIRP-00385,Energy,NCLT Hyderabad,2022-03-18,Resolution Plan Approved,93,254.22,33.9,10,19,1,0,1
CIRP-00386,Others,NCLT Kolkata,2017-05-07,Resolution Plan Approved,244,95.49,26.86,105,12,1,1,1
CIRP-00387,Energy,NCLT Kolkata,2020-09-29,Appeal Pending,243,186.67,,72,16,0,0,0
CIRP-00388,Others,NCLT Chennai,2019-07-24,Withdrawn (Sec 12A),552,3.47,76.45,98,7,1,0,1
CIRP-00389,Telecom,NCLT Kolkata,2019-12-02,Resolution Plan Approved,860,94.85,30.27,53,19,0,1,1
CIRP-00390,Others,NCLT Delhi,2018-03-07,Appeal Pending,293,58.89,,42,19,0,0,0
CIRP-00391,Real Estate,NCLT Delhi,2018-12-09,Liquidation Order,684,210.34,0.1,114,0,0,1,0
CIRP-00392,Banking & Finance,NCLT Chennai,2020-01-05,Settled,257,58.48,37.89,75,15,0,0,1
CIRP-00393,Healthcare,NCLT Hyderabad,2018-03-08,Liquidation Order,790,130.3,10.54,137,7,0,1,0
CIRP-00394,Real Estate,NCLT Mumbai,2019-01-03,Liquidation Order,1077,114.37,2.08,107,12,0,0,0
CIRP-00395,Infrastructure,NCLT Ahmedabad,2021-04-09,Appeal Pending,114,91.44,,133,6,0,0,0
CIRP-00396,Infrastructure,NCLT Hyderabad,2022-05-12,Resolution Plan Approved,360,114.64,40.24,22,14,0,1,1
CIRP-00397,Energy,NCLT Ahmedabad,2021-06-21,Appeal Pending,332,193.39,,87,1,0,0,0
CIRP-00398,Energy,NCLT Kolkata,2017-04-24,Liquidation Order,582,35.01,3.61,52,16,0,1,0
CIRP-00399,Real Estate,NCLT Delhi,2019-02-20,Appeal Pending,470,756.89,,106,2,0,0,0
CIRP-00400,Others,NCLT Mumbai,2022-06-07,Ongoing,363,260.42,,131,20,0,0,0
CIRP-00401,Others,NCLT Ahmedabad,2017-04-03,Settled,887,32.52,58.73,137,2,0,0,1
CIRP-00402,Real Estate,NCLT Kolkata,2022-11-17,Ongoing,236,30.5,,48,15,0,0,0
CIRP-00403,IT / Technology,NCLT Kolkata,2020-05-26,Resolution Plan Approved,744,151.86,37.07,30,14,0,0,1
CIRP-00404,Manufacturing,NCLT Ahmedabad,2019-02-24,Resolution Plan Approved,533,2.02,45.33,77,20,0,0,1
CIRP-00405,Energy,NCLT Kolkata,2021-02-01,Settled,316,199.33,60.16,65,1,0,0,1
CIRP-00406,IT / Technology,NCLT Chennai,2017-08-22,Appeal Pending,573,166.07,,102,0,1,0,0
CIRP-00407,IT / Technology,NCLT Kolkata,2017-12-30,Settled,389,211.65,48.71,106,6,0,0,1
CIRP-00408,IT / Technology,NCLT Chennai,2021-01-01,Appeal Pending,588,72.32,,82,0,0,0,0
CIRP-00409,Real Estate,NCLT Hyderabad,2018-08-02,Withdrawn (Sec 12A),298,141.39,76.95,113,4,1,0,1
CIRP-00410,Telecom,NCLT Delhi,2022-12-17,Resolution Plan Approved,627,238.55,27.65,99,12,0,0,1
CIRP-00411,Retail,NCLT Kolkata,2021-01-27,Appeal Pending,181,47.5,,136,7,0,1,0
CIRP-00412,Real Estate,NCLT Mumbai,2021-03-17,Ongoing,556,20.93,,75,16,0,0,0
CIRP-00413,Banking & Finance,NCLT Hyderabad,2020-08-06,Appeal Pending,186,454.8,,29,15,0,0,0
CIRP-00414,Energy,NCLT Mumbai,2020-08-07,Ongoing,420,10.02,,2,20,0,0,0
CIRP-00415,Real Estate,NCLT Chennai,2022-08-19,Settled,364,502.78,61.33,117,17,0,1,1
CIRP-00416,Banking & Finance,NCLT Mumbai,2020-11-21,Ongoing,262,9.58,,24,11,0,1,0
CIRP-00417,Retail,NCLT Delhi,2018-06-28,Appeal Pending,44,205.64,,72,11,0,0,0
CIRP-00418,Healthcare,NCLT Mumbai,2022-11-29,Ongoing,97,27.67,,130,18,0,0,0
CIRP-00419,Telecom,NCLT Delhi,2018-06-12,Ongoing,573,39.62,,73,18,0,0,0
CIRP-00420,Energy,NCLT Ahmedabad,2017-02-22,Appeal Pending,373,3.17,,136,9,1,1,0
CIRP-00421,IT / Technology,NCLT Hyderabad,2022-08-31,Settled,404,21.37,71.06,133,7,0,0,1
CIRP-00422,IT / Technology,NCLT Ahmedabad,2018-11-14,Ongoing,547,3.12,,82,5,0,0,0
CIRP-00423,Telecom,NCLT Ahmedabad,2022-08-03,Liquidation Order,742,917.68,3.61,8,1,0,1,0
CIRP-00424,IT / Technology,NCLT Mumbai,2017-08-08,Resolution Plan Approved,302,151.3,19.69,33,14,0,0,1
CIRP-00425,Energy,NCLT Chennai,2019-12-13,Liquidation Order,747,43.83,6.13,15,4,0,1,0
CIRP-00426,IT / Technology,NCLT Hyderabad,2017-11-28,Settled,157,135.81,57.29,104,11,0,0,1
CIRP-00427,Retail,NCLT Ahmedabad,2017-12-21,Withdrawn (Sec 12A),877,3.66,84.57,87,8,0,0,1
CIRP-00428,Retail,NCLT Hyderabad,2019-09-18,Appeal Pending,514,14.44,,128,3,0,1,0
CIRP-00429,Infrastructure,NCLT Hyderabad,2022-07-24,Liquidation Order,1012,19.28,0.33,97,12,0,0,0
CIRP-00430,Energy,NCLT Ahmedabad,2018-11-12,Ongoing,369,114.29,,39,19,1,0,0
CIRP-00431,Healthcare,NCLT Kolkata,2020-06-07,Resolution Plan Approved,887,26.25,12.11,128,17,0,0,1
CIRP-00432,Healthcare,NCLT Chennai,2019-06-17,Withdrawn (Sec 12A),416,13.03,57.42,42,13,0,1,1
CIRP-00433,Infrastructure,NCLT Delhi,2017-09-18,Ongoing,521,95.72,,90,14,0,0,0
CIRP-00434,Energy,NCLT Hyderabad,2021-04-17,Appeal Pending,584,9.73,,94,8,0,1,0
CIRP-00435,Healthcare,NCLT Ahmedabad,2019-10-29,Resolution Plan Approved,503,58.0,26.18,111,19,0,0,1
CIRP-00436,IT / Technology,NCLT Ahmedabad,2018-02-11,Settled,800,7.08,82.49,65,5,0,0,1
CIRP-00437,Telecom,NCLT Chennai,2017-08-26,Settled,730,58.29,51.1,132,5,0,0,1
CIRP-00438,Infrastructure,NCLT Hyderabad,2019-01-04,Appeal Pending,61,1664.66,,141,16,0,0,0
CIRP-00439,Energy,NCLT Chennai,2018-08-21,Appeal Pending,243,913.03,,117,18,1,1,0
CIRP-00440,Retail,NCLT Ahmedabad,2022-09-29,Ongoing,261,20.31,,11,9,0,1,0
CIRP-00441,IT / Technology,NCLT Chennai,2022-04-16,Ongoing,264,22.08,,99,18,0,0,0
CIRP-00442,Energy,NCLT Kolkata,2021-03-16,Withdrawn (Sec 12A),876,545.93,66.34,125,3,1,0,1
CIRP-00443,Energy,NCLT Mumbai,2020-02-17,Resolution Plan Approved,923,23.53,29.59,132,6,0,0,1
CIRP-00444,IT / Technology,NCLT Delhi,2020-03-08,Settled,704,768.54,62.74,31,4,0,1,1
CIRP-00445,Others,NCLT Hyderabad,2018-02-28,Liquidation Order,131,19.95,1.48,128,14,0,0,0
CIRP-00446,Infrastructure,NCLT Delhi,2019-11-01,Ongoing,581,5.44,,100,12,0,1,0
CIRP-00447,Banking & Finance,NCLT Mumbai,2018-11-12,Liquidation Order,881,126.61,1.14,144,8,0,0,0
CIRP-00448,Infrastructure,NCLT Ahmedabad,2021-01-08,Ongoing,108,58.81,,21,9,0,1,0
CIRP-00449,Healthcare,NCLT Chennai,2019-11-21,Appeal Pending,212,549.9,,112,9,0,0,0
CIRP-00450,Others,NCLT Mumbai,2021-12-07,Appeal Pending,434,497.27,,20,8,0,0,0
CIRP-00451,IT / Technology,NCLT Hyderabad,2017-03-28,Settled,122,39.46,71.15,47,7,0,1,1
CIRP-00452,Energy,NCLT Chennai,2022-08-04,Appeal Pending,591,1.54,,109,17,0,0,0
CIRP-00453,Energy,NCLT Hyderabad,2018-01-05,Settled,416,714.38,76.74,32,9,0,0,1
CIRP-00454,Retail,NCLT Ahmedabad,2020-01-27,Settled,808,38.55,48.25,9,14,0,0,1
CIRP-00455,Others,NCLT Delhi,2021-01-11,Resolution Plan Approved,914,310.31,17.88,135,2,0,0,1
CIRP-00456,Infrastructure,NCLT Hyderabad,2022-03-14,Ongoing,197,47.89,,113,1,0,0,0
CIRP-00457,Real Estate,NCLT Delhi,2017-04-02,Resolution Plan Approved,221,222.64,41.27,85,16,0,1,1
CIRP-00458,Infrastructure,NCLT Delhi,2021-03-21,Liquidation Order,502,3.13,5.37,19,10,0,0,0
CIRP-00459,Banking & Finance,NCLT Kolkata,2021-04-11,Withdrawn (Sec 12A),840,106.45,62.98,37,0,0,0,1
CIRP-00460,Healthcare,NCLT Ahmedabad,2020-03-05,Appeal Pending,484,446.08,,7,17,0,0,0
CIRP-00461,IT / Technology,NCLT Mumbai,2018-03-18,Resolution Plan Approved,1034,1452.31,34.44,96,19,0,0,1
CIRP-00462,Real Estate,NCLT Kolkata,2019-09-13,Appeal Pending,597,87.74,,13,13,0,0,0
CIRP-00463,Manufacturing,NCLT Mumbai,2019-09-29,Appeal Pending,112,85.23,,25,2,0,0,0
CIRP-00464,Energy,NCLT Delhi,2022-02-24,Appeal Pending,466,44.7,,102,0,0,0,0
CIRP-00465,Telecom,NCLT Delhi,2022-08-22,Settled,388,1.18,39.93,74,10,0,0,1
CIRP-00466,Retail,NCLT Chennai,2017-07-13,Liquidation Order,124,95.88,5.71,124,2,0,0,0
CIRP-00467,Real Estate,NCLT Kolkata,2018-10-18,Ongoing,577,37.76,,9,16,0,0,0
CIRP-00468,Real Estate,NCLT Chennai,2020-12-09,Withdrawn (Sec 12A),200,35.41,67.14,84,12,0,0,1
CIRP-00469,Manufacturing,NCLT Chennai,2017-06-25,Resolution Plan Approved,770,86.04,43.81,139,19,1,1,1
CIRP-00470,Others,NCLT Ahmedabad,2017-09-15,Ongoing,215,19.93,,128,14,1,0,0
CIRP-00471,Manufacturing,NCLT Mumbai,2020-12-03,Ongoing,279,23.97,,83,5,1,1,0
CIRP-00472,Manufacturing,NCLT Delhi,2019-11-22,Liquidation Order,956,80.94,0.6,97,19,0,0,0
CIRP-00473,Banking & Finance,NCLT Chennai,2017-06-21,Appeal Pending,349,116.07,,41,11,0,0,0
